island/mainland,Group,Clade,Nmorpho,SVL,Tail,Head_length,Head_width,Head_depth,Lower_jaw_length,Outlever,Snout,Open,Close,Interlimb,Body_height,Body_width,Femur,Tibia,Tarsus,Ltoe,Hind_limb_length,Humerus,Radius,Carpus,Longest_toe,Forelimb_length,label,_key,length
M,M1,Dactyloa,6,74.4,97.19,22.47,9.76,9.37,21.94,20.61,17.26,1.33,3.35,37.98,10.78,11.85,11.67,11.1,6.41,9.08,38.26,10.88,9.44,3.81,5.99,30.12,proboscis,71,25.40677749
I,I2,Anolis,10,89.37,147.61,26.26,14.51,10.52,28.76,25.7,20.46,3.06,5.24,42.09,15.14,13.93,19.64,19.72,12.21,12.64,64.21,15.54,13.84,5.11,6.21,40.69,leachii,72,14.403363382
M,M1,Dactyloa,3,123.08,268.5,33.8,19.44,15.66,35.64,32.6,27.67,3.03,4.93,58.32,18.49,15.85,33,33.55,20.89,19.04,106.48,26.34,20.43,6.9,8.98,62.65,latifrons,73,7.0772912
I,I2,Anolis,3,47.76,125.09,16.54,6.59,5.51,16.88,15.69,13.46,1.19,2.23,20.06,6.27,5.68,10.98,12.1,7.54,7.62,38.24,7.62,5.65,2.41,3.23,18.91,dolichocephalus,74,8.329978192
M,M1,Dactyloa,4,72.38,162.11,19.23,9.62,7.82,19.43,17.71,14.58,1.72,3.13,32.9,8.46,10.45,16.15,15.71,10.64,10.54,53.03,12.25,9.84,4.17,5.18,31.43,huilae,75,30.49807076
M,M2a,Norops,3,47.06,105.83,13.47,6.58,5.17,13.26,11.91,9.92,1.35,1.99,22.55,5.3,6.3,10.53,10.72,6.3,6.38,33.93,8.07,6.54,2.01,3.06,19.68,unilobatus,76,9.064011048
I,I2,Anolis,21,60.5,96.86,17.62,8.67,6.05,17.45,16.18,13.36,1.27,2.82,29.45,5.45,6.1,14.81,14.46,5.88,11.89,47.04,10.47,9.86,2.12,7.73,30.17,evermanni,77,9.160982222
M,M2a,Norops,1,103.66,250,29.77,18.31,15.65,31.14,28.14,23.1,3,5.04,41.48,14.97,16.01,24.95,22.27,14.56,14.96,76.74,19.1,15.22,5.19,7.56,47.07,petersii,78,30.28292402
I,I2,Anolis,3,66.35,110.82,20.09,11.05,8.5,20.98,18.87,15.23,2.11,3.64,29.29,9.6,10.63,17.93,16.91,10.14,10.11,55.09,13.68,11.23,3.84,5.7,34.44,lucius,79,30.70550049
M,M2b,Norops,15,45.01,78.66,12.28,6.79,5.43,12.27,11.25,9.41,1.01,1.85,21.07,6.02,6.52,10.45,11.07,6.52,7.23,35.27,7.97,6.99,2.47,3.85,21.27,cupreus,80,15.104410769
